id,Composition,FormationEnergy
200,ErAg2,-0.332551903
201,ErInAg2,-0.361857348
202,TiAgHg2,0.104480078
203,InAg3,-0.046760467
204,Li2InAg,-0.296884632
205,ScInAg2,-0.315669185
206,Li2AgPb,-0.271188598
207,Li2AgSn,-0.310637958
208,MgAg3,-0.156627864
209,NaAg2,-0.09895568
210,AgPt3,0.025985158
211,ScAg4,-0.197338646
212,SrAg,-0.323598302
213,SrAg2,-0.312084182
214,Sr3Ag2,-0.273614264
215,TbAg2,-0.318675776
216,TmAg2,-0.336452158
217,TmAg3,-0.118113746
218,Zn8Ag5,-0.046912112
219,Zr3Ag,0.024012115
220,YMgAg,-0.293494593
221,KAgO,-1.04888167
222,ThAg2,-0.17761321
223,Ag2S,-0.278228053
224,Li2AlAg,-0.24582116
225,ScAlAg2,-0.32713154
226,Cd2AgAu,-0.133143473
227,Zn2AgAu,-0.149578337
228,Ca5Ag3,-0.290310492
229,CeCd2Ag,-0.152794015
230,CeMg2Ag,-0.008425152
231,Nd(SiAg)2,-0.437772855
232,AgPdF6,-1.558448222
233,CeAgSn,-0.472091767
234,TbAgSn,-0.607209541
235,AgTe2Au,0.133948967
236,Mg32Al36Ag13,-0.077275998
237,Ag2S,-0.274510783
238,Ag2Se,-0.034068861
239,Ag2S,-0.190418836
240,Ac2S3,-2.570040228
241,Ag2Te,-0.02706816
242,Ag2S,-0.226869205
243,Ag2S,-0.273536071
244,AgTe4Au,-0.073618015
245,AgI2,-0.050953587
246,AgBiSe2,-0.227374111
247,AgSbSe2,-0.168288491
248,ErAgSe2,-1.162281258
249,AgPF6,-2.556906607
250,MgAgAs,-0.217431953
251,Ag3AuS2,-0.247509171
252,Na3AgO2,-1.282937931
253,Ag2O,-0.329487302
254,Dy5AgS8,-2.207794463
255,Ag(AuS)2,-0.230453532
256,AgBiI4,-0.380136167
257,ErAgS2,-1.634391672
258,LuAgSn,-0.508285843
259,Ag2S,-0.271580181
260,AcOF,-4.186407238
261,Nd5AgSe8,-1.684510217
262,Ag3SBr,-0.271962573
263,Ag2HgI4,-0.20055528
264,Nd5AgS8,-2.208671348
265,AgSe,0.085823991
266,AgAuS2,-0.27128862
267,NdSiAg,-0.53354909
268,Ag2O,-0.221494437
269,Ag2S,-0.237707403
270,Sm5AgSe8,-1.674085173
271,NbAg7S6,-0.514977344
272,ErAgSe2,-1.201387663
273,CrAgS2,-0.800676682
274,Nd(AgGe)2,-0.425137877
275,PrAgAs2,-0.77486098
276,HoAgSn,-0.582567647
277,AgAsSe2,-0.076088443
278,Tb(SiAg)2,-0.401783599
279,AgAsF7,-2.128706567
280,GaAgTe2,-0.288451701
281,AgO,-0.454490071
282,Ag3BiO3,-0.800281519
283,FeAgS2,-0.48977738
284,Rb2Ag4S3,-0.69864656
285,CeAgSb2,-0.662860414
286,Ag13OsO6,-0.466636162
287,Ag3RuO4,-0.725799421
288,Cs2AgF4,-2.37121822
289,AgBF5,-2.44231024
290,Tl4Ag18Te11,-0.133688299
291,Cu29(Ag6As7)2,0.039365569
292,GaAgS2,-0.843267683
293,CaAg,-0.340319065
294,Ag3AsO4,-0.980981559
295,AgSbO3,-1.440874082
296,Cs2AgI3,-1.156288052
297,Ag2F5,-1.408353672
298,EuAg5,-0.178323501
299,Fe2AgS3,-0.593576886
300,Na3In2Ag,-0.149601557
301,CsAgCl2,-1.519849489
302,GdAg,-0.315588957
303,AgSbO3,-1.446319651
304,Ag2O3,-0.370707461
305,AgPS3,-0.562481039
306,AgClO4,-0.411497656
307,GaAgSe2,-0.455656363
308,AgClO2,-0.247544525
309,NbAgO3,-2.196999741
310,Ag5IO6,-0.531533363
311,Ag2B8O13,-2.525631807
312,Ag2Ge2O5,-1.503341469
313,Ag5(PbO3)2,-0.820167383
314,Ag2S,-0.272851926
315,Mn3(AgO2)4,-1.234349708
316,Ag5GeO4,-0.831638419
317,GaAgS2,-0.84067508
318,NbAgO3,-2.161638371
319,Ag3SI,-0.176151981
320,AgTeO3,-1.142457776
321,Ag2BiO3,-0.930868535
322,Ag2TeO4,-0.981272817
323,AgTeO3,-1.162536641
324,AgBO2,-1.899046903
325,Ag2S,-0.195207563
326,Ag4GeO4,-0.909363376
327,Ce(SiAg)2,-0.394444762
328,CrAgS2,-0.692587732
329,Ag2BiO3,-0.933718508
330,TaAgS3,-1.063608038
331,AgTeO3,-1.142820564
332,CaAgAs,-0.791395569
333,Ag3BO3,-1.21598638
334,Ag2PS3,-0.501956567
335,CsAgF3,-2.154464227
336,Ag3F8,-1.373033331
337,Ca19Ag8N7,-0.628830989
338,Ag(BCl)6,-0.943225009
339,Li2AgSn,-0.37025057
340,CsAgCl2,-1.528915069
341,DyAgGe,-0.657556375
342,Ho3(AgSn)4,-0.462862708
343,Rb2AgBr3,-1.320594191
344,LiInAg2,-0.222796377
345,AgI,-0.258525713
346,Cd8Ag5,-0.061908393
347,NdAg2,-0.263645548
348,Ag10Te4Br3,-0.178926393
349,Ag10Te4Br3,-0.181036661
350,YbAg2,-0.370498847
351,YbAg,-0.42598978
352,PrAg2,-0.27340421
353,CaAgBi,-0.564333573
354,SrAg,-0.32352082
355,SmInAg2,-0.37900273
356,AgTe,-0.047153077
357,Ag2Se,0.058671512
358,AgI,-0.179133558
359,Ag2Se,-0.070655363
360,LuAg4,-0.231998758
361,Ag2Se,-0.063732192
362,AgSe3I,-0.100005796
363,TmInAg2,-0.353202524
364,Yb2Ag7,-0.298692227
365,ErAgSn,-0.568249087
366,In5AgTe8,-0.316708503
367,YInAg2,-0.38145069
368,K2AgI3,-1.088119044
369,Ag2HgI4,-0.30039657
370,AgBr,-0.330203422
371,AgAuCl4,-0.759085667
372,AgTe3I,-0.095395047
373,AgBiTe2,-0.0766208
374,Ba4Ag3Ge20,-0.258353403
375,PrInAg2,-0.37020284
376,AgCl,-0.713281967
377,CrAgSe2,-0.194806229
378,Mg30Al24Ag19,-0.042499266
379,SmAgPb,-0.450731365
380,AgCl,-0.688763062
381,Ag3Te2Au,-0.07180649
382,CsAgBr2,-1.104233099
383,Yb5Ag3,-0.355111981
384,AgN3,0.358491149
385,Yb3Ag2,-0.375471338
