id,Composition,FormationEnergy
843,YbAcMg2,-0.081808307
844,Yb2AgHg,-0.515805962
845,YbAcCd2,-0.365691114
846,YbAcGa2,-0.469160337
847,YbAcRh2,-0.575869894
848,TbAg3,-0.227377497
849,TmAlAg2,-0.328708481
850,YTlAg2,-0.244757583
851,TbAg3,-0.218601775
852,TcAg3,0.593833966
853,Pm2InAg,-0.386300746
854,Pm2AgRh,-0.478030609
855,CaAc3,0.043391509
856,Ac2SiHg,-0.391259644
857,Ac2NiGe,-0.346727883
858,Ag2GeO3,-1.216488232
859,Ca2AgBi,-0.613226635
860,CdAg2Au,-0.071554515
861,Ca2AgAu,-0.560922915
862,CuAg3,0.085484086
863,AcTlHg2,-0.393567547
864,CaAgHg2,-0.33106798
865,BeAg3,0.21824461
866,Ba2AgSb,-0.72185323
867,Nb4Ag2O11,-2.540599154
868,AcMg3,-0.059762973
869,AcLa3,0.008425265
870,AcF3,-4.440656592
871,Ag3Ge,0.095885284
872,Ag3Ge,0.104670531
873,Ac2Mg,-0.04726294
874,AgAu3,-0.032444375
875,Ac3Hg,-0.082246138
876,Ac3Er,0.056980316
877,Ag3P,0.207949195
878,Ag3Pd,-0.054167847
879,Ag3Rh,0.226806723
880,Ag3N,0.976687497
881,AcEr3,0.073746608
882,AcDy3,0.060895586
883,Ac3Pr,0.032556063
884,Ac3Th,0.139572881
885,Ac3In,-0.177311639
886,AgAsSe,-0.071896555
887,Ag3Hg,0.027281533
888,CaAcIn2,-0.460220074
889,Ac3Tl,-0.107646516
890,Ac3La,0.027790728
891,Ac3Sm,0.043807154
892,Ac3Nd,0.036861418
893,Ac3Sc,0.102278142
894,AgPb3,0.088596068
895,CeAgAs2,-0.78173254
896,AlAg2,-0.070929745
897,Ag,0.003061567
898,BaAgP,-0.728711419
899,CdAgO2,-0.888201954
900,AgBiO2,-1.122245982
901,AgBiO2,-1.130277034
902,AgBiO2,-1.140468919
903,AgAuO2,-0.448233954
904,BaAgO2,-1.742677792
905,AgAuO2,-0.475486632
906,AgAuO2,-0.480731613
907,AgClO2,-0.693609691
908,MnAgO2,-1.439783004
909,AgHgO2,-0.524505603
910,AgHgO2,-0.518918738
911,AgPtO2,-0.686856973
912,AgPtO2,-0.664985533
913,TlAgO2,-0.833750784
914,AgClO2,-0.687104864
915,AgClO2,-0.68037593
916,AgClO2,-0.66521949
917,AgPbO2,-1.013309614
918,AgPbO2,-1.001748546
919,AgO2F,-0.916455783
920,AgPdO2,-0.657696426
921,AgBrO2,-0.481360289
922,AgBrO2,-0.476619491
923,KAgO2,-1.042014966
924,AgO2F,-0.929783872
925,KAgO2,-1.033316051
926,AgRhO2,-0.890688397
927,MnAgO2,-1.404634376
928,NbAgF6,-2.90043718
929,TlAgBr3,-0.495702914
930,MgAgF3,-2.776437255
931,NiAgF3,-1.725445388
932,CuAgF3,-1.560863996
933,MgAgF3,-2.791839034
934,NiAgF3,-1.753682418
935,KAgBr3,-0.870154514
936,AgN,1.418364811
937,YAg2,-0.329220027
938,AgN,1.640640454
939,BaAg4O7,-0.392079478
940,YAgO3,-2.106759588
941,CaAgF5,-2.539593509
942,CaAgF5,-2.549775799
943,AlAgO3,-0.283373231
944,YAgO3,-1.605591271
945,AgN,1.905594121
946,MgAgF5,-2.313893006
947,ZnAgF5,-1.830339622
948,AlAgO3,-1.39767505
949,MgAgF5,-2.30253273
950,ZnAgF5,-1.793937585
951,YAgO3,-2.178621384
952,AlAgO3,-1.637521393
953,Mg2Ag2O5,-1.247637935
954,Ca2Ag2O5,-1.627008017
955,Zn2Ag2O5,-0.793687952
956,AlAgO3,-1.749965758
957,Ag2O3,-0.139574645
958,Mg(AgO2)2,-0.953416064
959,Zn(AgO2)2,-0.624042604
960,Ca(AgO2)2,-1.078981792
961,Zn(AgO2)2,-0.651142086
962,Ca(AgO2)2,-1.126355313
963,Mg(AgO2)2,-1.034910436
964,Mg(AgO2)2,-1.044094114
965,Zn(AgO2)2,-0.657354706
966,Ca(AgO2)2,-1.124622539
967,Mg(AgO2)2,-1.077087791
968,Zn(AgO2)2,-0.721485732
969,Ca(AgO2)2,-1.359421761
970,Mg(AgO2)2,-0.965215515
971,Zn(AgO2)2,-0.575708119
972,Ca(AgO2)2,-1.178383762
973,Ca(AgO2)2,-1.216560429
974,Mg(AgO2)2,-1.052363011
975,Zn(AgO2)2,-0.673982647
976,Zn(AgO2)2,-0.626026438
977,Mg(AgO2)2,-1.020793318
978,Ca(AgO2)2,-1.210906106
979,Ca(AgO2)2,-1.324186162
980,Zn(AgO2)2,-0.687928216
981,Mg(AgO2)2,-1.093364989
982,Mg(AgO2)2,-1.05123121
983,Ca(AgO2)2,-1.101444314
984,Zn(AgO2)2,-0.656960086
985,Mg(AgO2)2,-1.006515229
986,Zn(AgO2)2,-0.619187561
987,Ca(AgO2)2,-1.222984775
988,Ca(AgO2)2,-1.048387575
989,Mg(AgO2)2,-1.02272604
990,Zn(AgO2)2,-0.642143221
991,Ca(AgO2)2,-1.089821738
992,Mg(AgO2)2,-0.969301432
993,Zn(AgO2)2,-0.62497302
994,Mg(AgO2)2,-1.024426222
995,Zn(AgO2)2,-0.649062796
996,Ca(AgO2)2,-1.147792902
997,AgPO4,-1.612206286
998,Mg(AgO2)2,-1.000499895
999,Zn(AgO2)2,-0.640639489
1000,Ca(AgO2)2,-1.121469761
